comments,sentiment
电脑6988买的，一大早电脑到了准备评价订单，一看价格结果降了200块到6788了，去找客服申请价格保护，客服拖拖拉拉，半天回一句话，过了一会告诉我价格没降，再去看又把价格改回6988了，刘墙冬是这样教你们做事的？,9.04997605744029e-08
差评，买了3天就降价一百，还不能退差价，和客服沟通半天也没用，*直接*的价格，同事刚刚买完就降价*也不给退差价，价格标那么高再给个优惠券有什么用,1.8914524990698567e-07
差评，昨天购买没有赠品，今天买就有，真是随心所欲啊，一点都不知道变通，苹果售后让找京东客服，京东客服怎么说都说不通，为这服务打个差。,4.5281854835765856e-06
这个就非常合适了，买到了0次循环的电脑，那就大概率不是退的机器了，而且屏幕很完美没有坏点黄屏幕现象，拆封的时候真是担心哈，但是现在真的是蛮开心的，因为运气一直不怎么好，买iPad在新玛特买的激活后发现有一个坏点营业员也不给退换，说什么三个坏点以上才退，唉，小人，商人都是为了利益，所以买电子产品水深，就期望自己运气好点，再d买还便宜，久佰，结果这次运气还就真不错，给自己的运气打5星。,3.069460314530925e-05
买来3个月不到就开不了机，申请维修就因为外壳摔了一下就不给维修，*钱买来就费了，白条都没有还完*哑巴吃黄莲,4.2605555308328213e-05
机子味道很大 刺鼻！收到后只连个无线 测试好坏、结果被告知不支持七天无理由退货,4.5296480436829434e-05
2.21号收货，3月1号，3号分两次各降100，跟客服反映，补了一次，实在太不厚道。,5.226016953807644e-05
唉，怎么说，估计我是很少一部分后悔的吧，工作学习需要的好多软件安不上也就算了，那我拿来看看文献，写写论文该好吧，但是这键盘手感真心不好，行程太短，我会怀疑我是敲的是地板。。。还有这屏幕。。。还没有window好多电脑好，发白，看文献还有些发虚。眼镜会特别特别累。\n不过这厚度续航也是没谁了。不习惯差评，好评了。  有需要要买的可以给我说，我转了。才买了几天,0.00012054094428648465
说实话下单之后心里有点没底，货到了以后检查了外观没问题，然后开机激活、查看电池循环次数、上苹果官网查询保修情况，应该确定是行货新机了。,0.00017207210054448474
苹果电脑本身没有什么评价意义。只是送的电脑袋不好，一股油漆味，怀疑有毒，已经扔掉。,0.00017537528100819433
还是很生气的，中午下的订单，下午就降价200，还不接受价格保护。降价的时候商品还没出库呢，真是气愤。被京东刷了一回。机器是15年的款型，16年生产的。用着还可以，毕竟系统也熟悉。,0.00019970148718917446
